path,transcription,action,object,location
D:\Eshang Documents\PGP Intern\Fluent\Speech-to-Intent-Micro\Train\Eshang_1\1.1 audio.wav.43ggmf7h.ingestion-788d68f5fb-hpqkk.s14.wav,one,Add 1,Glass,TPD45
D:\Eshang Documents\PGP Intern\Fluent\Speech-to-Intent-Micro\Train\Eshang_1\1.wav.438dcsbr.ingestion-5bfb7d65cc-ktlgk.s13.wav,one,Add 1,Glass,TPD45
D:\Eshang Documents\PGP Intern\Fluent\Speech-to-Intent-Micro\Train\Eshang_1\1.wav.438dcsbr.ingestion-5bfb7d65cc-ktlgk.s22.wav,one,Add 1,Glass,TPD45
D:\Eshang Documents\PGP Intern\Fluent\Speech-to-Intent-Micro\Train\Eshang_1\1.1 audio.wav.43ggmf7h.ingestion-788d68f5fb-hpqkk.s19.wav,one,Add 1,Glass,TPD45
D:\Eshang Documents\PGP Intern\Fluent\Speech-to-Intent-Micro\Train\Eshang_1\1.wav.438dcsbr.ingestion-5bfb7d65cc-ktlgk.s17.wav,one,Add 1,Glass,TPD45
D:\Eshang Documents\PGP Intern\Fluent\Speech-to-Intent-Micro\Train\Eshang_1\1.wav.438dcsbr.ingestion-5bfb7d65cc-ktlgk.s6.wav,one,Add 1,Glass,TPD45
D:\Eshang Documents\PGP Intern\Fluent\Speech-to-Intent-Micro\Train\Eshang_1\1.1 audio.wav.43ggmf7h.ingestion-788d68f5fb-hpqkk.s8.wav,one,Add 1,Glass,TPD45
D:\Eshang Documents\PGP Intern\Fluent\Speech-to-Intent-Micro\Train\Eshang_1\1.wav.438dcsbr.ingestion-5bfb7d65cc-ktlgk.s24.wav,one,Add 1,Glass,TPD45
D:\Eshang Documents\PGP Intern\Fluent\Speech-to-Intent-Micro\Train\Eshang_1\1.wav.438dcsbr.ingestion-5bfb7d65cc-ktlgk.s18.wav,one,Add 1,Glass,TPD45
D:\Eshang Documents\PGP Intern\Fluent\Speech-to-Intent-Micro\Train\Eshang_1\1.wav.438dcsbr.ingestion-5bfb7d65cc-ktlgk.s28.wav,one,Add 1,Glass,TPD45
D:\Eshang Documents\PGP Intern\Fluent\Speech-to-Intent-Micro\Train\Eshang_1\1.wav.438dcsbr.ingestion-5bfb7d65cc-ktlgk.s5.wav,one,Add 1,Glass,TPD45
D:\Eshang Documents\PGP Intern\Fluent\Speech-to-Intent-Micro\Train\Eshang_1\1.1 audio.wav.43ggmf7h.ingestion-788d68f5fb-hpqkk.s4.wav,one,Add 1,Glass,TPD45
D:\Eshang Documents\PGP Intern\Fluent\Speech-to-Intent-Micro\Train\Eshang_1\1.1 audio.wav.43ggmf7h.ingestion-788d68f5fb-hpqkk.s10.wav,one,Add 1,Glass,TPD45
D:\Eshang Documents\PGP Intern\Fluent\Speech-to-Intent-Micro\Train\Eshang_1\1.wav.438dcsbr.ingestion-5bfb7d65cc-ktlgk.s21.wav,one,Add 1,Glass,TPD45
D:\Eshang Documents\PGP Intern\Fluent\Speech-to-Intent-Micro\Train\Eshang_1\1.1 audio.wav.43ggmf7h.ingestion-788d68f5fb-hpqkk.s9.wav,one,Add 1,Glass,TPD45
D:\Eshang Documents\PGP Intern\Fluent\Speech-to-Intent-Micro\Train\Eshang_1\1.wav.438dcsbr.ingestion-5bfb7d65cc-ktlgk.s10.wav,one,Add 1,Glass,TPD45
D:\Eshang Documents\PGP Intern\Fluent\Speech-to-Intent-Micro\Train\Eshang_1\1.1 audio.wav.43ggmf7h.ingestion-788d68f5fb-hpqkk.s6.wav,one,Add 1,Glass,TPD45
D:\Eshang Documents\PGP Intern\Fluent\Speech-to-Intent-Micro\Train\Eshang_1\1.1 audio.wav.43ggmf7h.ingestion-788d68f5fb-hpqkk.s18.wav,one,Add 1,Glass,TPD45
D:\Eshang Documents\PGP Intern\Fluent\Speech-to-Intent-Micro\Train\Eshang_1\1.wav.438dcsbr.ingestion-5bfb7d65cc-ktlgk.s29.wav,one,Add 1,Glass,TPD45
D:\Eshang Documents\PGP Intern\Fluent\Speech-to-Intent-Micro\Train\Eshang_1\1.wav.438dcsbr.ingestion-5bfb7d65cc-ktlgk.s26.wav,one,Add 1,Glass,TPD45
D:\Eshang Documents\PGP Intern\Fluent\Speech-to-Intent-Micro\Train\Eshang_1\1.wav.438dcsbr.ingestion-5bfb7d65cc-ktlgk.s4.wav,one,Add 1,Glass,TPD45
D:\Eshang Documents\PGP Intern\Fluent\Speech-to-Intent-Micro\Train\Eshang_1\1.wav.438dcsbr.ingestion-5bfb7d65cc-ktlgk.s12.wav,one,Add 1,Glass,TPD45
D:\Eshang Documents\PGP Intern\Fluent\Speech-to-Intent-Micro\Train\Eshang_1\1.1 audio.wav.43ggmf7h.ingestion-788d68f5fb-hpqkk.s12.wav,one,Add 1,Glass,TPD45
D:\Eshang Documents\PGP Intern\Fluent\Speech-to-Intent-Micro\Train\Eshang_1\1.wav.438dcsbr.ingestion-5bfb7d65cc-ktlgk.s14.wav,one,Add 1,Glass,TPD45
D:\Eshang Documents\PGP Intern\Fluent\Speech-to-Intent-Micro\Train\Eshang_1\1.wav.438dcsbr.ingestion-5bfb7d65cc-ktlgk.s25.wav,one,Add 1,Glass,TPD45
D:\Eshang Documents\PGP Intern\Fluent\Speech-to-Intent-Micro\Train\Eshang_1\1.1 audio.wav.43ggmf7h.ingestion-788d68f5fb-hpqkk.s13.wav,one,Add 1,Glass,TPD45
D:\Eshang Documents\PGP Intern\Fluent\Speech-to-Intent-Micro\Train\Eshang_1\1.1 audio.wav.43ggmf7h.ingestion-788d68f5fb-hpqkk.s5.wav,one,Add 1,Glass,TPD45
D:\Eshang Documents\PGP Intern\Fluent\Speech-to-Intent-Micro\Train\Eshang_1\1.1 audio.wav.43ggmf7h.ingestion-788d68f5fb-hpqkk.s15.wav,one,Add 1,Glass,TPD45
D:\Eshang Documents\PGP Intern\Fluent\Speech-to-Intent-Micro\Train\Eshang_2\2.wav.438csfja.ingestion-5bfb7d65cc-bhp56.s19.wav,two,Add 2,Glass,TPD45
D:\Eshang Documents\PGP Intern\Fluent\Speech-to-Intent-Micro\Train\Eshang_2\2.wav.438csfja.ingestion-5bfb7d65cc-bhp56.s2.wav,two,Add 2,Glass,TPD45
D:\Eshang Documents\PGP Intern\Fluent\Speech-to-Intent-Micro\Train\Eshang_2\2.wav.438csfja.ingestion-5bfb7d65cc-bhp56.s20.wav,two,Add 2,Glass,TPD45
D:\Eshang Documents\PGP Intern\Fluent\Speech-to-Intent-Micro\Train\Eshang_2\2.wav.438csfja.ingestion-5bfb7d65cc-bhp56.s21.wav,two,Add 2,Glass,TPD45
D:\Eshang Documents\PGP Intern\Fluent\Speech-to-Intent-Micro\Train\Eshang_2\2.wav.438csfja.ingestion-5bfb7d65cc-bhp56.s22.wav,two,Add 2,Glass,TPD45
D:\Eshang Documents\PGP Intern\Fluent\Speech-to-Intent-Micro\Train\Eshang_2\2.wav.438csfja.ingestion-5bfb7d65cc-bhp56.s23.wav,two,Add 2,Glass,TPD45
D:\Eshang Documents\PGP Intern\Fluent\Speech-to-Intent-Micro\Train\Eshang_2\2.wav.438csfja.ingestion-5bfb7d65cc-bhp56.s24.wav,two,Add 2,Glass,TPD45
D:\Eshang Documents\PGP Intern\Fluent\Speech-to-Intent-Micro\Train\Eshang_2\2.wav.438csfja.ingestion-5bfb7d65cc-bhp56.s3.wav,two,Add 2,Glass,TPD45
D:\Eshang Documents\PGP Intern\Fluent\Speech-to-Intent-Micro\Train\Eshang_2\2.wav.438csfja.ingestion-5bfb7d65cc-bhp56.s4.wav,two,Add 2,Glass,TPD45
D:\Eshang Documents\PGP Intern\Fluent\Speech-to-Intent-Micro\Train\Eshang_2\2.wav.438csfja.ingestion-5bfb7d65cc-bhp56.s5.wav,two,Add 2,Glass,TPD45
D:\Eshang Documents\PGP Intern\Fluent\Speech-to-Intent-Micro\Train\Eshang_2\2.wav.438csfja.ingestion-5bfb7d65cc-bhp56.s6.wav,two,Add 2,Glass,TPD45
D:\Eshang Documents\PGP Intern\Fluent\Speech-to-Intent-Micro\Train\Eshang_2\2.wav.438csfja.ingestion-5bfb7d65cc-bhp56.s7.wav,two,Add 2,Glass,TPD45
D:\Eshang Documents\PGP Intern\Fluent\Speech-to-Intent-Micro\Train\Eshang_2\2.wav.438csfja.ingestion-5bfb7d65cc-bhp56.s8.wav,two,Add 2,Glass,TPD45
D:\Eshang Documents\PGP Intern\Fluent\Speech-to-Intent-Micro\Train\Eshang_2\2.wav.438csfja.ingestion-5bfb7d65cc-bhp56.s9.wav,two,Add 2,Glass,TPD45
D:\Eshang Documents\PGP Intern\Fluent\Speech-to-Intent-Micro\Train\Eshang_3\3.wav.438dsr33.ingestion-5bfb7d65cc-ktlgk.s15.wav,three,Add 3,Glass,TPD45
D:\Eshang Documents\PGP Intern\Fluent\Speech-to-Intent-Micro\Train\Eshang_3\3.wav.438dsr33.ingestion-5bfb7d65cc-ktlgk.s9.wav,three,Add 3,Glass,TPD45
D:\Eshang Documents\PGP Intern\Fluent\Speech-to-Intent-Micro\Train\Eshang_3\3.3_audio.wav.43ggv3l9.ingestion-788d68f5fb-fcg2v.s2.wav,three,Add 3,Glass,TPD45
D:\Eshang Documents\PGP Intern\Fluent\Speech-to-Intent-Micro\Train\Eshang_3\3.wav.438dsr33.ingestion-5bfb7d65cc-ktlgk.s14.wav,three,Add 3,Glass,TPD45
D:\Eshang Documents\PGP Intern\Fluent\Speech-to-Intent-Micro\Train\Eshang_3\3.3_audio.wav.43ggv3l9.ingestion-788d68f5fb-fcg2v.s7.wav,three,Add 3,Glass,TPD45
D:\Eshang Documents\PGP Intern\Fluent\Speech-to-Intent-Micro\Train\Eshang_3\3.3_audio.wav.43ggv3l9.ingestion-788d68f5fb-fcg2v.s15.wav,three,Add 3,Glass,TPD45
D:\Eshang Documents\PGP Intern\Fluent\Speech-to-Intent-Micro\Train\Eshang_3\3.wav.438dsr33.ingestion-5bfb7d65cc-ktlgk.s20.wav,three,Add 3,Glass,TPD45
D:\Eshang Documents\PGP Intern\Fluent\Speech-to-Intent-Micro\Train\Eshang_3\3.wav.438dsr33.ingestion-5bfb7d65cc-ktlgk.s8.wav,three,Add 3,Glass,TPD45
D:\Eshang Documents\PGP Intern\Fluent\Speech-to-Intent-Micro\Train\Eshang_3\3.3_audio.wav.43ggv3l9.ingestion-788d68f5fb-fcg2v.s17.wav,three,Add 3,Glass,TPD45
D:\Eshang Documents\PGP Intern\Fluent\Speech-to-Intent-Micro\Train\Eshang_3\3.3_audio.wav.43ggv3l9.ingestion-788d68f5fb-fcg2v.s1.wav,three,Add 3,Glass,TPD45
D:\Eshang Documents\PGP Intern\Fluent\Speech-to-Intent-Micro\Train\Eshang_3\3.3_audio.wav.43ggv3l9.ingestion-788d68f5fb-fcg2v.s8.wav,three,Add 3,Glass,TPD45
D:\Eshang Documents\PGP Intern\Fluent\Speech-to-Intent-Micro\Train\Eshang_3\3.3_audio.wav.43ggv3l9.ingestion-788d68f5fb-fcg2v.s16.wav,three,Add 3,Glass,TPD45
D:\Eshang Documents\PGP Intern\Fluent\Speech-to-Intent-Micro\Train\Eshang_3\3.3_audio.wav.43ggv3l9.ingestion-788d68f5fb-fcg2v.s10.wav,three,Add 3,Glass,TPD45
D:\Eshang Documents\PGP Intern\Fluent\Speech-to-Intent-Micro\Train\Eshang_3\3.wav.438dsr33.ingestion-5bfb7d65cc-ktlgk.s19.wav,three,Add 3,Glass,TPD45
D:\Eshang Documents\PGP Intern\Fluent\Speech-to-Intent-Micro\Train\Eshang_3\3.3_audio.wav.43ggv3l9.ingestion-788d68f5fb-fcg2v.s14.wav,three,Add 3,Glass,TPD45
D:\Eshang Documents\PGP Intern\Fluent\Speech-to-Intent-Micro\Train\Eshang_3\3.wav.438dsr33.ingestion-5bfb7d65cc-ktlgk.s10.wav,three,Add 3,Glass,TPD45
D:\Eshang Documents\PGP Intern\Fluent\Speech-to-Intent-Micro\Train\Eshang_3\3.wav.438dsr33.ingestion-5bfb7d65cc-ktlgk.s13.wav,three,Add 3,Glass,TPD45
D:\Eshang Documents\PGP Intern\Fluent\Speech-to-Intent-Micro\Train\Eshang_3\3.wav.438dsr33.ingestion-5bfb7d65cc-ktlgk.s12.wav,three,Add 3,Glass,TPD45
D:\Eshang Documents\PGP Intern\Fluent\Speech-to-Intent-Micro\Train\Eshang_3\3.wav.438dsr33.ingestion-5bfb7d65cc-ktlgk.s5.wav,three,Add 3,Glass,TPD45
D:\Eshang Documents\PGP Intern\Fluent\Speech-to-Intent-Micro\Train\Eshang_3\3.wav.438dsr33.ingestion-5bfb7d65cc-ktlgk.s7.wav,three,Add 3,Glass,TPD45